title,price_text,price,category,city,location,type_transaction,rooms,post_time,post_date,post_month,post_year
bien à vendre s+3 directement promoteur avec piscine à mahdi,602000 DT,602000,1,Mahdia,Mahdia,1,3,1/23/26 22:49,01-23-26,1,2026
à vendre appartement s+3 avec piscine zone touristique,520000 DT,520000,1,Mahdia,Mahdia,1,3,1/23/26 13:35,01-23-26,1,2026
à l’année appartement s+2 à hiboune Mahdia,680 DT,680,0,Mahdia,Mahdia,0,2,1/14/26 12:13,01-14-26,1,2026
A louer pour Toute l’année s+2 vue Mer avec parking,1600 DT,1600,0,Mahdia,Mahdia,0,2,1/14/26 12:13,01-14-26,1,2026
a louer appartement s+2 rz fatimides haut standing,650 DT,650,0,Mahdia,Mahdia,0,2,1/14/26 12:13,01-14-26,1,2026
a l’année s+2 sur la route principale à borj arif mahdia,650 DT,650,0,Mahdia,Mahdia,0,2,1/14/26 12:13,01-14-26,1,2026
A vendre s+2 spacieux pied dans l’eau avec parking à mahdia,600000 DT,600000,1,Mahdia,Mahdia,1,2,11/13/25 15:12,11-13-25,11,2025
A vendre s+3 Haute Standing en plein Zone Touristique mahdia,460000 DT,460000,1,Mahdia,Mahdia,1,3,11/13/25 15:12,11-13-25,11,2025
a l’année s+2 sur la route principale à borj arif mahdia,700 DT,700,0,Mahdia,Mahdia,0,2,10/7/25 13:45,10-07-25,10,2025
à louer pour la saison scolaire app s+1 rz fatimides,600 DT,600,0,Mahdia,Mahdia,0,1,10/7/25 13:45,10-07-25,10,2025
appartement s+2 neuf trés haut standing pour la location,750 DT,750,0,Mahdia,Mahdia,0,2,10/7/25 13:45,10-07-25,10,2025
a louer s+2 vue mer avec place parking sous sol,1000 DT,1000,0,Mahdia,Mahdia,0,2,10/7/25 13:45,10-07-25,10,2025
A louer appartement s+1 panorama en plein zone touristique,550 DT,550,0,Mahdia,Mahdia,0,1,9/10/25 19:06,09-10-25,9,2025
app s+2 neuf en plein zone touristique à mahdia à louer,700 DT,700,0,Mahdia,Mahdia,0,2,9/10/25 19:06,09-10-25,9,2025
a louer appartement s+3 neuf pour l’année scolaire avec park,850 DT,850,0,Mahdia,Mahdia,0,3,9/10/25 19:06,09-10-25,9,2025
A l’année s+1 haut standing en plein zone touristique,850 DT,850,0,Mahdia,Mahdia,0,1,9/10/25 19:06,09-10-25,9,2025
a louer pour location scolaire s+1 en plein zone touristique,600 DT,600,0,Mahdia,Mahdia,0,1,9/10/25 19:06,09-10-25,9,2025
à louer appartement s+2 pour les médecins à mahdia,700 DT,700,0,Mahdia,Mahdia,0,2,9/10/25 19:06,09-10-25,9,2025
a louer appartement s+2 rz fatimides haut standing pour l’an,650 DT,650,0,Mahdia,Mahdia,0,2,9/10/25 19:06,09-10-25,9,2025
a louer appartement s+2 vue sur mer rz fatimides,600 DT,600,0,Mahdia,Mahdia,0,2,9/10/25 19:06,09-10-25,9,2025
à louer RDC s+2 en plein zone baghdedi mahdia pour location,450 DT,450,0,Mahdia,Mahdia,0,2,9/10/25 19:05,09-10-25,9,2025
à louer appartement s+1 rz ayed proche de la plage à mahdia,500 DT,500,0,Mahdia,Mahdia,0,1,9/10/25 19:05,09-10-25,9,2025
A LOUER S+1 APPART ‘hôtel MAHDIA BEACH à MAHDIA,1500 DT,1500,0,Mahdia,Mahdia,0,1,9/10/25 19:05,09-10-25,9,2025
à louer appartement s+2 rz l’espadon vue mer,1500 DT,1500,0,Mahdia,Mahdia,0,2,9/10/25 19:05,09-10-25,9,2025
à louer s+1 rz les jardins pour l’année scolaire,600 DT,600,0,Mahdia,Mahdia,0,1,9/10/25 19:05,09-10-25,9,2025
a louer pour toute l’année s+2 avec parking sous sol,880 DT,880,0,Mahdia,Mahdia,0,2,9/10/25 19:05,09-10-25,9,2025
à louer s+2 rz dar fraj pour vacance d’été à mahdia,1300 DT,1300,2,Mahdia,Mahdia,0,2,7/30/25 12:45,07-30-25,7,2025
À Vendre Appartement S+4 Pied dans L’eau et vue sur mer,1100000 DT,1100000,1,Mahdia,Mahdia,1,4,7/30/25 12:45,07-30-25,7,2025
À Vendre S+2 Neuf Et Vue Sur Mer À Baghdedi Plage,270000 DT,270000,1,Mahdia,Mahdia,1,2,7/30/25 12:45,07-30-25,7,2025
pour location de vacance appartement s+2 neuf à mahdia,1960 DT,1960,2,Mahdia,Mahdia,0,2,7/30/25 12:45,07-30-25,7,2025
a louer s+2 pour vacance d’été Rz fatimide,1300 DT,1300,2,Mahdia,Mahdia,0,2,7/30/25 12:45,07-30-25,7,2025
pour vacance d’été s+2 vue sur mer en plein zone touristique,1350 DT,1350,2,Mahdia,Mahdia,0,2,7/28/25 21:53,07-28-25,7,2025
à louer RDC s+3 à l’année s+3 à ezzahra mahdia,850 DT,850,0,Mahdia,Mahdia,0,3,7/28/25 21:53,07-28-25,7,2025
A LOUER APPARTEMENT S+3 RZ FATIMIDE NEUF A MAHDIA,1600 DT,1600,2,Mahdia,Mahdia,0,3,7/28/25 21:53,07-28-25,7,2025
Bien a vendre s+3 avec piscine en plein zone touristique,2900 DT,2900,1,Mahdia,Mahdia,1,3,7/28/25 21:53,07-28-25,7,2025
à louer pour vacance s+2 spacieux à hiboune mahdia,1000 DT,1000,2,Mahdia,Mahdia,0,2,7/28/25 21:53,07-28-25,7,2025
appartement s+1 de charme rz azur proche de la plage,1100 DT,1100,2,Mahdia,Mahdia,0,1,7/28/25 21:53,07-28-25,7,2025
à louer appartement s+2 vue sur mer en zone touristique,1400 DT,1400,2,Mahdia,Mahdia,0,2,7/28/25 21:53,07-28-25,7,2025
a louer appartement s+1 proche de la mer à mahdia,1100 DT,1100,2,Mahdia,Mahdia,0,1,7/11/25 17:50,07-11-25,7,2025
pour vacance d’été s+2 neuf en plein zone touristique,1700 DT,1700,2,Mahdia,Mahdia,0,2,7/11/25 17:50,07-11-25,7,2025
Pour vacances appartement S+1 RZ Fatimides,850 DT,850,2,Mahdia,Mahdia,0,1,7/11/25 14:35,07-11-25,7,2025
"Appartement S+2 à louer Vue sur mer à Baghdedi, Mahdia",1890 DT,1890,2,Mahdia,Mahdia,0,2,7/11/25 14:35,07-11-25,7,2025
À louer appartement S+2 neuf pour location de vacances,1700 DT,1700,2,Mahdia,Mahdia,0,2,7/11/25 14:35,07-11-25,7,2025
à louer appartement s+2 vue sur mer en plein zone touristiqu,1400 DT,1400,2,Mahdia,Mahdia,0,2,7/11/25 14:35,07-11-25,7,2025
pour vacance d’été appartement s+2 neuf,1700 DT,1700,2,Mahdia,Mahdia,0,2,7/10/25 14:41,07-10-25,7,2025
À Louer Pour Vacance D’été Appartement S+2 Neuf À Mahdia,1700 DT,1700,2,Mahdia,Mahdia,0,2,7/10/25 14:39,07-10-25,7,2025
location de vacance appartement s+2 neuf à louer à mahdia,1700 DT,1700,2,Mahdia,Mahdia,0,2,7/10/25 14:39,07-10-25,7,2025
Charmant appartement S+1 à la Corniche de Mahdia – à 20m de,160 DT,160,0,Mahdia,Mahdia,0,1,6/27/25 10:37,06-27-25,6,2025
à vendre appartement s+2 vue sur mer à baghdedi plage,270000 DT,270000,1,Mahdia,Mahdia,1,2,6/25/25 13:14,06-25-25,6,2025
Des appartements s+1 vue sur mer directement au promoteur,175000 DT,175000,1,Mahdia,Mahdia,1,1,6/25/25 13:14,06-25-25,6,2025
à vendre appartement s+2 vue sur mer et pied dans l’eau neuf,330000 DT,330000,1,Mahdia,Mahdia,1,2,6/25/25 13:14,06-25-25,6,2025
Des Appartements s+2 Neuf À Vendre À Bas Prix à mahdia,170000 DT,170000,1,Mahdia,Mahdia,1,2,6/25/25 13:14,06-25-25,6,2025
a louer appartement s+2 pour vacance d’été,900 DT,900,2,Mahdia,Mahdia,0,2,6/25/25 11:08,06-25-25,6,2025
à vendre s+2 neuf haut standing à baghdedi,330000 DT,330000,1,Mahdia,Mahdia,1,2,6/24/25 21:23,06-24-25,6,2025
à vendre appartement s+1 pied dans l’eau sur corniche mahdia,190000 DT,190000,1,Mahdia,Mahdia,1,1,6/24/25 21:23,06-24-25,6,2025
à vendre des appartements s+1 et s+2 haut standing à baghded,190000 DT,190000,1,Mahdia,Mahdia,1,1,6/24/25 21:23,06-24-25,6,2025
des appartements s+1 /s+2 /s+3 à vendre en cours de construc,157000 DT,157000,1,Mahdia,Mahdia,1,1,6/24/25 21:23,06-24-25,6,2025
à vendre s+1 luxe et directement promoteur à mahdia,264000 DT,264000,1,Mahdia,Mahdia,1,1,6/24/25 21:23,06-24-25,6,2025
Vendre S+2 haut standing et directement promoteur à mahdia,374000 DT,374000,1,Mahdia,Mahdia,1,2,6/24/25 21:23,06-24-25,6,2025
à vendre s+3 hiboun neuf proche de la plage,345000 DT,345000,1,Mahdia,Mahdia,1,3,6/24/25 21:23,06-24-25,6,2025
à louer s+2 très haut standing vue sur mer et luxe,1400 DT,1400,2,Mahdia,Mahdia,0,2,6/24/25 21:23,06-24-25,6,2025
Appartement a louer S+2 Haut Standing Rz Dyar El Mahdia,1250 DT,1250,2,Mahdia,Mahdia,0,2,6/24/25 21:22,06-24-25,6,2025
à louer appartement s+2 pied dans l’eau pour vacance,1200 DT,1200,2,Mahdia,Mahdia,0,2,6/24/25 21:22,06-24-25,6,2025
appartement s+1 de charme proche de la plage et vue mer,1100 DT,1100,2,Mahdia,Mahdia,0,1,6/24/25 21:22,06-24-25,6,2025
a louer un rdc s+2 neuf sur la nouvelle baghdedi,900 DT,900,2,Mahdia,Mahdia,0,2,6/24/25 11:25,06-24-25,6,2025
a louer appartement s+2 rz fatimides haut standing,1250 DT,1250,2,Mahdia,Mahdia,0,2,6/24/25 11:23,06-24-25,6,2025
a louer appartement S+1 rz panorama zone touristique mahdia,800 DT,800,2,Mahdia,Mahdia,0,1,6/24/25 11:22,06-24-25,6,2025
appartement s+2 neuf pour la location d’été,1300 DT,1300,2,Mahdia,Mahdia,0,2,6/24/25 11:19,06-24-25,6,2025
À Louer App S+3 Neuf En Plein Zone Touristique,2940 DT,2940,2,Mahdia,Mahdia,0,3,6/23/25 15:47,06-23-25,6,2025
À Louer Pour Vacance App S+1 À Dyar El Mahdia,1100 DT,1100,2,Mahdia,Mahdia,0,1,6/23/25 14:54,06-23-25,6,2025
pour vacance appartement s+2 vue sur mer et pied dans l’eau,2450 DT,2450,2,Mahdia,Mahdia,0,2,6/23/25 14:54,06-23-25,6,2025
Appartement s+3 vue sur mer pour vacance d’été à baghdedi,2240 DT,2240,2,Mahdia,Mahdia,0,3,6/23/25 13:55,06-23-25,6,2025
à louer s+2 à rz yakhting neuf vue magnifique sur la mer,2800 DT,2800,2,Mahdia,Mahdia,0,2,6/23/25 13:55,06-23-25,6,2025
A Louer app s+2 rz nadhour Proche De La Mer pour vacance,1500 DT,1500,2,Mahdia,Mahdia,0,2,6/23/25 13:55,06-23-25,6,2025
à louer appartement s+3 pour vacance d’étè à mahdia,1100 DT,1100,2,Mahdia,Mahdia,0,3,6/23/25 13:55,06-23-25,6,2025
appartement s+3 pied dans l’eau corniche mahdia,1400 DT,1400,2,Mahdia,Mahdia,0,3,6/23/25 13:55,06-23-25,6,2025
à louer appartement s+2 rz l’espadon vue mer pour vacance,2200 DT,2200,2,Mahdia,Mahdia,0,2,6/17/25 15:52,06-17-25,6,2025
à louer appartement s+1 rz les jardins pour vacance d’été,900 DT,900,2,Mahdia,Mahdia,0,1,6/17/25 15:52,06-17-25,6,2025
à louer app s+1 à dyar el mahdia,1000 DT,1000,2,Mahdia,Mahdia,0,1,6/17/25 15:52,06-17-25,6,2025
Pour location estivale à Louer deux Appartements S+2 RZ Dyar,1000 DT,1000,2,Mahdia,Mahdia,0,2,6/17/25 14:53,06-17-25,6,2025
pour vacance s+2 proche de la plage à corniche mahdia,1600 DT,1600,2,Mahdia,Mahdia,0,2,6/17/25 14:53,06-17-25,6,2025
à louer appartement s+2 rz panorama pour vacance,1300 DT,1300,2,Mahdia,Mahdia,0,2,6/17/25 14:53,06-17-25,6,2025
Location De Vacance S+1 neuf Rz Fatimides Proche De La Plage,950 DT,950,2,Mahdia,Mahdia,0,1,6/17/25 14:53,06-17-25,6,2025
A Louer à rz abid Appartement s+2 Proche De La Mer,1500 DT,1500,2,Mahdia,Mahdia,0,2,6/17/25 14:53,06-17-25,6,2025
A LOUER APPARTEMENT S+3 NEUF AVEC PARKING,1600 DT,1600,2,Mahdia,Mahdia,0,3,6/17/25 9:45,06-17-25,6,2025
estivale 2024 à louer appartement s+1 rz fatimide,850 DT,850,2,Mahdia,Mahdia,0,1,6/17/25 9:40,06-17-25,6,2025
a louer appartement s+2 vue sur mer au cœur zone touristique,1400 DT,1400,2,Mahdia,Mahdia,0,2,6/16/25 15:12,06-16-25,6,2025
Location De Vacance S+1 Neuf rz fatimides Proche De La Plage,1250 DT,1250,2,Mahdia,Mahdia,0,1,6/16/25 15:12,06-16-25,6,2025
Appartement s+2 vue sur mer pour vacance d’été à baghdedi,1750 DT,1750,2,Mahdia,Mahdia,0,2,6/16/25 14:24,06-16-25,6,2025
vacance d’été à louer s+1 rz nadhour pied dans l’eau,1000 DT,1000,2,Mahdia,Mahdia,0,1,6/16/25 14:23,06-16-25,6,2025
A Louer Appartement S+1 RZ les jardins Pour Vacance à mahdia,900 DT,900,2,Mahdia,Mahdia,0,1,6/16/25 14:20,06-16-25,6,2025
a louer appartement s+2 vue mer en plein zone touristique,1300 DT,1300,2,Mahdia,Mahdia,0,2,6/16/25 14:15,06-16-25,6,2025
s+ 1 à louer rz dyar skiffa,1000 DT,1000,2,Mahdia,Mahdia,0,1,6/16/25 14:11,06-16-25,6,2025
Appartement S+4 en vente,0 DT,0,1,Bizerte,Zarzouna,1,4,3/17/26 17:53,03-17-26,3,2026
Studio bien équipé,700 DT,700,0,Bizerte,Bizerte Nord,0,0,2/17/26 10:19,02-17-26,2,2026
Studio bien équipé,650 DT,650,0,Bizerte,Bizerte Nord,0,0,1/13/26 18:37,01-13-26,1,2026
spacieux studio,600 DT,600,4,Bizerte,Bizerte Nord,0,0,1/13/26 18:37,01-13-26,1,2026
studio au rez de chaussée,600 DT,600,4,Bizerte,Bizerte Nord,0,0,1/5/26 12:33,01-05-26,1,2026
spacieux studio,400 DT,400,0,Bizerte,Bizerte Nord,0,0,1/5/26 12:33,01-05-26,1,2026
spacieux studio vide,600 DT,600,4,Bizerte,Bizerte Nord,0,0,12/30/25 21:22,12-30-25,12,2025
spacieux studio meublé,80 DT,80,0,Bizerte,Bizerte Nord,0,0,12/30/25 21:22,12-30-25,12,2025
À VENDRE | Appartement S+3 - Cité El Hana Bizerte,170000 DT,170000,1,Bizerte,Bizerte Nord,1,3,11/28/25 19:41,11-28-25,11,2025
petit studio meublé,550 DT,550,0,Bizerte,Bizerte Nord,0,0,10/17/25 23:42,10-17-25,10,2025
A Vendre un Appartement S+2 Haut Standing à Bizerte,210000 DT,210000,1,Bizerte,Bizerte Nord,1,2,10/6/25 13:35,10-06-25,10,2025
A louer un Etage de villa s2 front mer à Bizerte,1700 DT,1700,4,Bizerte,Bizerte Nord,0,2,9/22/25 17:38,09-22-25,9,2025
A Louer un Appartemnt S2 Front Mer à Corniche Bizerte,2400 DT,2400,2,Bizerte,Bizerte Nord,0,2,9/22/25 13:13,09-22-25,9,2025
Studio 40m2 au rez-de-chaussée centre ville zarzouna,53000 DT,53000,3,Bizerte,Zarzouna,1,0,7/4/25 8:50,07-04-25,7,2025
Studio s+1,400 DT,400,4,Bizerte,Bizerte Nord,0,0,2/8/25 21:36,02-08-25,2,2025
Appartement S2 hammam lif,135000 DT,135000,1,Ben arous,Hammam Lif,1,2,3/13/26 13:28,03-13-26,3,2026
À LOUER ÉTAGE VILLA S+3 AU REZ-DE-CHAUSSÉE À RADES 2,950 DT,950,0,Ben arous,Radès,0,3,3/12/26 16:04,03-12-26,3,2026
Appartement S2 au 2etage,650 DT,650,0,Ben arous,Radès,0,2,3/12/26 13:52,03-12-26,3,2026
Appartement S+2 Haut Standing a Vendre,220000 DT,220000,1,Ben arous,Borj Cedria,1,2,3/3/26 17:44,03-03-26,3,2026
A Louer - Appartement S+2,550 DT,550,0,Ben arous,Borj Cedria,0,2,3/3/26 17:44,03-03-26,3,2026
À VENDRE – Superbe villa duplex haut standing S+4,420000 DT,420000,3,Ben arous,Borj Cedria,1,4,3/3/26 17:44,03-03-26,3,2026
À VENDRE APPARTEMENT S+3 AU 3ÈME ÉTAGE À RADES SNIT,130000 DT,130000,1,Ben arous,Radès,1,3,2/27/26 15:17,02-27-26,2,2026
À VENDRE SPACIEUX DUPLEX S+4 À RADES MELIANE 2,750000 DT,750000,3,Ben arous,Radès,1,4,2/26/26 19:11,02-26-26,2,2026
Appartement à vendre S+2 MOUROUJ 5,110000 DT,110000,1,Ben arous,El Mourouj,1,2,2/24/26 15:11,02-24-26,2,2026
"À Vendre – Duplex S+6 sur 3 niveaux à Mourouj 5, rare sur le",250000 DT,250000,1,Ben arous,El Mourouj,1,6,2/23/26 16:29,02-23-26,2,2026
Pour la location Megrine Type : étage de villa s+3 au R,1200 DT,1200,4,Ben arous,Mégrine,0,3,2/17/26 11:08,02-17-26,2,2026
À vendre appartement S+3 125m² à Ezzahra – Quartier calme et,305000 DT,305000,1,Ben arous,Ezzahra,1,3,2/13/26 16:31,02-13-26,2,2026
À VENDRE MAISON EN DUPLEX S+3 À RADES MELIANE 2,590000 DT,590000,3,Ben arous,Radès,1,3,2/11/26 15:28,02-11-26,2,2026
studio a louer par jour tel 58753702,55 DT,55,0,Ben arous,Hammam Lif,0,0,2/5/26 18:52,02-05-26,2,2026
studio meublé a louer 50dt par jour,55 DT,55,0,Ben arous,Hammam Lif,0,0,2/5/26 18:50,02-05-26,2,2026
"A loyer, pour Etudiant Ap S+2 bir El kassaa, proche de busi",550 DT,550,0,Ben arous,El Mourouj,0,2,2/4/26 23:05,02-04-26,2,2026
Appartement HST S+3 – Medina,325000 DT,325000,1,Ben arous,Medina Jedida,1,3,2/4/26 12:38,02-04-26,2,2026
"Appartement S+1 de 62,19 m² au 7ème étage – Nouvelle Cité El",164740 DT,164740,1,Ben arous,Medina Jedida,1,1,1/27/26 22:58,01-27-26,1,2026
"Appartement S+2 Haut Standing – 104,98 m² – RDC – Parking so",273820 DT,273820,1,Ben arous,Medina Jedida,1,2,1/27/26 22:58,01-27-26,1,2026
"Appartement S+2 Haut Standing – 109,55 m² – 5ème étage – Pa",278880 DT,278880,1,Ben arous,Medina Jedida,1,2,1/27/26 22:58,01-27-26,1,2026
"Appartement S+2 Haut Standing – 104,98 m² – 6ème étage – Par",268770 DT,268770,1,Ben arous,Medina Jedida,1,2,1/27/26 22:58,01-27-26,1,2026
"Appartement S+1 Haut Standing – 62,19 m² – Direct Promoteur",172820 DT,172820,1,Ben arous,Medina Jedida,1,1,1/24/26 22:26,01-24-26,1,2026
"Appartement S+2 Haut Standing – 111,83 m² – Direct Promoteu",275840 DT,275840,1,Ben arous,Medina Jedida,1,2,1/24/26 22:26,01-24-26,1,2026
À VENDRE APPARTEMENT S+2 RÉNOVÉ À RADES SNIT (CHEMINOT),110000 DT,110000,1,Ben arous,Radès,1,2,1/23/26 22:49,01-23-26,1,2026
À VENDRE VILLA S+3 À RÉNOVER À BEN AROUS,530000 DT,530000,3,Ben arous,Ben Arous,1,3,1/23/26 22:49,01-23-26,1,2026
À LOUER ÉTAGE DE VILLA S+4 JAMAIS HABITÉ À RADES MED ALI,1100 DT,1100,0,Ben arous,Radès,0,4,1/23/26 22:49,01-23-26,1,2026
À VENDRE VILLA S+5 DANS LA QUIÈTUDE DE RADES MONGIL,1300000 DT,1300000,3,Ben arous,Radès,1,5,1/23/26 22:49,01-23-26,1,2026
À vendre Appartement S+2 de 76 m² au 1er étage – Mohammedia,89000 DT,89000,1,Ben arous,Mohamedia,1,2,1/22/26 18:36,01-22-26,1,2026
📢 À LOUER – 2 Appartements S+2 neufs à Ezzahra Loulija,900 DT,900,0,Ben arous,Ezzahra,0,2,1/21/26 22:01,01-21-26,1,2026
"Maison à vendre à Mhamdia – S+2 habitable, étage inachevé",255000 DT,255000,3,Ben arous,Mohamedia,1,2,1/15/26 19:44,01-15-26,1,2026
"À vendre appartement S+2 au RDC, 80 m², bien entretenu – Qua",210000 DT,210000,1,Ben arous,Medina Jedida,1,2,1/7/26 20:15,01-07-26,1,2026
A vendre Appartement s2 à hammam-lif,220000 DT,220000,1,Ben arous,Hammam Lif,1,2,1/6/26 15:19,01-06-26,1,2026
Etage de villa s2 à Ezzahra nakhil,850 DT,850,0,Ben arous,Ezzahra,0,2,1/3/26 0:13,01-02-26,1,2026
villa s+5,4500 DT,4500,4,Ben arous,Mégrine,0,5,11/24/25 20:06,11-24-25,11,2025
AAPARTEMENT S+2,600 DT,600,0,Ben arous,El Mourouj,0,2,11/16/25 17:10,11-16-25,11,2025
À Vendre – Appartement S+2 Rez-de-Chaussée avec Place de Par,145000 DT,145000,1,Ben arous,El Mourouj,1,2,10/30/25 13:20,10-30-25,10,2025
Appartement s2 rdc à Ezzahra,240000 DT,240000,1,Ben arous,Ezzahra,1,2,10/22/25 11:38,10-22-25,10,2025
A louer un S+1 meublé à Ezzahra loulija,1200 DT,1200,0,Ben arous,Ezzahra,0,1,10/22/25 10:20,10-22-25,10,2025
A louer studio s+0,360 DT,360,0,Ben arous,Medina Jedida,0,0,10/21/25 23:42,10-21-25,10,2025
Appartement ezzahra s2,165000 DT,165000,1,Ben arous,Ezzahra,1,2,10/13/25 10:57,10-13-25,10,2025
À louer – Duplex S+3 entièrement rénové avec garage Mourouj3,1400 DT,1400,0,Ben arous,El Mourouj,0,3,10/10/25 22:52,10-10-25,10,2025
À vendre : Appartement S+3 spacieux et lumineux à Borj Cédri,200000 DT,200000,1,Ben arous,Hammam Chott,1,3,9/25/25 0:14,09-24-25,9,2025
"Appartement S+2 , A vendre, numéro ( 92 866 089 )",0 DT,0,1,Ben arous,Radès,1,2,9/19/25 15:34,09-19-25,9,2025
Opportunité a megrine s+1,700 DT,700,0,Ben arous,Mégrine,0,1,9/1/25 23:54,09-01-25,9,2025
appart s+3,1200 DT,1200,0,Ben arous,Radès,0,3,8/7/25 15:32,08-07-25,8,2025
Appartement S2 à Borj Cedria,280000 DT,280000,1,Ben arous,Borj Cedria,1,2,8/3/25 11:26,08-03-25,8,2025
appartement s+3,360000 DT,360000,1,Ben arous,Ezzahra,1,3,7/2/25 11:29,07-02-25,7,2025
Appartement S2 À El Médina El Jadida,128000 DT,128000,1,Ben arous,Medina Jedida,1,2,6/27/25 15:07,06-27-25,6,2025
appartement s+2,150 DT,150,1,Ben arous,Radès,1,2,6/24/25 17:28,06-24-25,6,2025
Pour la location Appartement s+1 a Megrine,750 DT,750,0,Ben arous,Mégrine,0,1,6/12/25 20:24,06-12-25,6,2025
Pour la vente appartement s+2 a rénové au rades choucha,150000 DT,150000,3,Ben arous,Mégrine,1,2,6/9/25 13:55,06-09-25,6,2025
Pour la vente appartement s+2 a rénové au rades choucha,150000 DT,150000,1,Ben arous,Mégrine,1,2,6/9/25 13:55,06-09-25,6,2025
Pour la vente Ezzahra s+3,360000 DT,360000,1,Ben arous,Ezzahra,1,3,6/9/25 13:55,06-09-25,6,2025
Appartement s+4 a ezzahra,380000 DT,380000,1,Ben arous,Ezzahra,1,4,6/9/25 13:55,06-09-25,6,2025
Pour la location Appartement s+2 sidi rzig,950 DT,950,0,Ben arous,Mégrine,0,2,5/17/25 14:54,05-17-25,5,2025
Pour la vente Ezzahra s+3,360000 DT,360000,4,Ben arous,Ezzahra,0,3,5/15/25 17:53,05-15-25,5,2025
