title,price_text,price,category,city,location,type_transaction,rooms,post_time,post_date,post_month,post_year,post_day,post_dayofweek,post_weekend,post_hour,post_period,season
À louer appartement S+2 neuf pour location de vacances,1700 DT,1700,2,Mahdia,Mahdia,0,2,2025-07-11 14:35:00,2025-07-11,7,2025,11,4,0,14,Après-midi,Été
à louer appartement s+2 vue sur mer en plein zone touristiqu,1400 DT,1400,2,Mahdia,Mahdia,0,2,2025-07-11 14:35:00,2025-07-11,7,2025,11,4,0,14,Après-midi,Été
pour vacance d’été appartement s+2 neuf,1700 DT,1700,2,Mahdia,Mahdia,0,2,2025-07-10 14:41:00,2025-07-10,7,2025,10,3,0,14,Après-midi,Été
À Louer Pour Vacance D’été Appartement S+2 Neuf À Mahdia,1700 DT,1700,2,Mahdia,Mahdia,0,2,2025-07-10 14:39:00,2025-07-10,7,2025,10,3,0,14,Après-midi,Été
location de vacance appartement s+2 neuf à louer à mahdia,1700 DT,1700,2,Mahdia,Mahdia,0,2,2025-07-10 14:39:00,2025-07-10,7,2025,10,3,0,14,Après-midi,Été
Charmant appartement S+1 à la Corniche de Mahdia – à 20m de,160 DT,160,0,Mahdia,Mahdia,0,1,2025-06-27 10:37:00,2025-06-27,6,2025,27,4,0,10,Matin,Été
à vendre appartement s+2 vue sur mer à baghdedi plage,270000 DT,270000,1,Mahdia,Mahdia,1,2,2025-06-25 13:14:00,2025-06-25,6,2025,25,2,0,13,Après-midi,Été
Des appartements s+1 vue sur mer directement au promoteur,175000 DT,175000,1,Mahdia,Mahdia,1,1,2025-06-25 13:14:00,2025-06-25,6,2025,25,2,0,13,Après-midi,Été
à vendre appartement s+2 vue sur mer et pied dans l’eau neuf,330000 DT,330000,1,Mahdia,Mahdia,1,2,2025-06-25 13:14:00,2025-06-25,6,2025,25,2,0,13,Après-midi,Été
Des Appartements s+2 Neuf À Vendre À Bas Prix à mahdia,170000 DT,170000,1,Mahdia,Mahdia,1,2,2025-06-25 13:14:00,2025-06-25,6,2025,25,2,0,13,Après-midi,Été
a louer appartement s+2 pour vacance d’été,900 DT,900,2,Mahdia,Mahdia,0,2,2025-06-25 11:08:00,2025-06-25,6,2025,25,2,0,11,Matin,Été
à vendre s+2 neuf haut standing à baghdedi,330000 DT,330000,1,Mahdia,Mahdia,1,2,2025-06-24 21:23:00,2025-06-24,6,2025,24,1,0,21,Soir,Été
à vendre appartement s+1 pied dans l’eau sur corniche mahdia,190000 DT,190000,1,Mahdia,Mahdia,1,1,2025-06-24 21:23:00,2025-06-24,6,2025,24,1,0,21,Soir,Été
à vendre des appartements s+1 et s+2 haut standing à baghded,190000 DT,190000,1,Mahdia,Mahdia,1,1,2025-06-24 21:23:00,2025-06-24,6,2025,24,1,0,21,Soir,Été
des appartements s+1 /s+2 /s+3 à vendre en cours de construc,157000 DT,157000,1,Mahdia,Mahdia,1,1,2025-06-24 21:23:00,2025-06-24,6,2025,24,1,0,21,Soir,Été
à vendre s+1 luxe et directement promoteur à mahdia,264000 DT,264000,1,Mahdia,Mahdia,1,1,2025-06-24 21:23:00,2025-06-24,6,2025,24,1,0,21,Soir,Été
Vendre S+2 haut standing et directement promoteur à mahdia,374000 DT,374000,1,Mahdia,Mahdia,1,2,2025-06-24 21:23:00,2025-06-24,6,2025,24,1,0,21,Soir,Été
à vendre s+3 hiboun neuf proche de la plage,345000 DT,345000,1,Mahdia,Mahdia,1,3,2025-06-24 21:23:00,2025-06-24,6,2025,24,1,0,21,Soir,Été
à louer s+2 très haut standing vue sur mer et luxe,1400 DT,1400,2,Mahdia,Mahdia,0,2,2025-06-24 21:23:00,2025-06-24,6,2025,24,1,0,21,Soir,Été
Appartement a louer S+2 Haut Standing Rz Dyar El Mahdia,1250 DT,1250,2,Mahdia,Mahdia,0,2,2025-06-24 21:22:00,2025-06-24,6,2025,24,1,0,21,Soir,Été
à louer appartement s+2 pied dans l’eau pour vacance,1200 DT,1200,2,Mahdia,Mahdia,0,2,2025-06-24 21:22:00,2025-06-24,6,2025,24,1,0,21,Soir,Été
appartement s+1 de charme proche de la plage et vue mer,1100 DT,1100,2,Mahdia,Mahdia,0,1,2025-06-24 21:22:00,2025-06-24,6,2025,24,1,0,21,Soir,Été
a louer un rdc s+2 neuf sur la nouvelle baghdedi,900 DT,900,2,Mahdia,Mahdia,0,2,2025-06-24 11:25:00,2025-06-24,6,2025,24,1,0,11,Matin,Été
a louer appartement s+2 rz fatimides haut standing,1250 DT,1250,2,Mahdia,Mahdia,0,2,2025-06-24 11:23:00,2025-06-24,6,2025,24,1,0,11,Matin,Été
a louer appartement S+1 rz panorama zone touristique mahdia,800 DT,800,2,Mahdia,Mahdia,0,1,2025-06-24 11:22:00,2025-06-24,6,2025,24,1,0,11,Matin,Été
appartement s+2 neuf pour la location d’été,1300 DT,1300,2,Mahdia,Mahdia,0,2,2025-06-24 11:19:00,2025-06-24,6,2025,24,1,0,11,Matin,Été
À Louer App S+3 Neuf En Plein Zone Touristique,2940 DT,2940,2,Mahdia,Mahdia,0,3,2025-06-23 15:47:00,2025-06-23,6,2025,23,0,0,15,Après-midi,Été
À Louer Pour Vacance App S+1 À Dyar El Mahdia,1100 DT,1100,2,Mahdia,Mahdia,0,1,2025-06-23 14:54:00,2025-06-23,6,2025,23,0,0,14,Après-midi,Été
pour vacance appartement s+2 vue sur mer et pied dans l’eau,2450 DT,2450,2,Mahdia,Mahdia,0,2,2025-06-23 14:54:00,2025-06-23,6,2025,23,0,0,14,Après-midi,Été
Appartement s+3 vue sur mer pour vacance d’été à baghdedi,2240 DT,2240,2,Mahdia,Mahdia,0,3,2025-06-23 13:55:00,2025-06-23,6,2025,23,0,0,13,Après-midi,Été
à louer s+2 à rz yakhting neuf vue magnifique sur la mer,2800 DT,2800,2,Mahdia,Mahdia,0,2,2025-06-23 13:55:00,2025-06-23,6,2025,23,0,0,13,Après-midi,Été
A Louer app s+2 rz nadhour Proche De La Mer pour vacance,1500 DT,1500,2,Mahdia,Mahdia,0,2,2025-06-23 13:55:00,2025-06-23,6,2025,23,0,0,13,Après-midi,Été
à louer appartement s+3 pour vacance d’étè à mahdia,1100 DT,1100,2,Mahdia,Mahdia,0,3,2025-06-23 13:55:00,2025-06-23,6,2025,23,0,0,13,Après-midi,Été
appartement s+3 pied dans l’eau corniche mahdia,1400 DT,1400,2,Mahdia,Mahdia,0,3,2025-06-23 13:55:00,2025-06-23,6,2025,23,0,0,13,Après-midi,Été
à louer appartement s+2 rz l’espadon vue mer pour vacance,2200 DT,2200,2,Mahdia,Mahdia,0,2,2025-06-17 15:52:00,2025-06-17,6,2025,17,1,0,15,Après-midi,Été
à louer appartement s+1 rz les jardins pour vacance d’été,900 DT,900,2,Mahdia,Mahdia,0,1,2025-06-17 15:52:00,2025-06-17,6,2025,17,1,0,15,Après-midi,Été
à louer app s+1 à dyar el mahdia,1000 DT,1000,2,Mahdia,Mahdia,0,1,2025-06-17 15:52:00,2025-06-17,6,2025,17,1,0,15,Après-midi,Été
Pour location estivale à Louer deux Appartements S+2 RZ Dyar,1000 DT,1000,2,Mahdia,Mahdia,0,2,2025-06-17 14:53:00,2025-06-17,6,2025,17,1,0,14,Après-midi,Été
pour vacance s+2 proche de la plage à corniche mahdia,1600 DT,1600,2,Mahdia,Mahdia,0,2,2025-06-17 14:53:00,2025-06-17,6,2025,17,1,0,14,Après-midi,Été
à louer appartement s+2 rz panorama pour vacance,1300 DT,1300,2,Mahdia,Mahdia,0,2,2025-06-17 14:53:00,2025-06-17,6,2025,17,1,0,14,Après-midi,Été
Location De Vacance S+1 neuf Rz Fatimides Proche De La Plage,950 DT,950,2,Mahdia,Mahdia,0,1,2025-06-17 14:53:00,2025-06-17,6,2025,17,1,0,14,Après-midi,Été
A Louer à rz abid Appartement s+2 Proche De La Mer,1500 DT,1500,2,Mahdia,Mahdia,0,2,2025-06-17 14:53:00,2025-06-17,6,2025,17,1,0,14,Après-midi,Été
A LOUER APPARTEMENT S+3 NEUF AVEC PARKING,1600 DT,1600,2,Mahdia,Mahdia,0,3,2025-06-17 09:45:00,2025-06-17,6,2025,17,1,0,9,Matin,Été
estivale 2024 à louer appartement s+1 rz fatimide,850 DT,850,2,Mahdia,Mahdia,0,1,2025-06-17 09:40:00,2025-06-17,6,2025,17,1,0,9,Matin,Été
a louer appartement s+2 vue sur mer au cœur zone touristique,1400 DT,1400,2,Mahdia,Mahdia,0,2,2025-06-16 15:12:00,2025-06-16,6,2025,16,0,0,15,Après-midi,Été
Location De Vacance S+1 Neuf rz fatimides Proche De La Plage,1250 DT,1250,2,Mahdia,Mahdia,0,1,2025-06-16 15:12:00,2025-06-16,6,2025,16,0,0,15,Après-midi,Été
Appartement s+2 vue sur mer pour vacance d’été à baghdedi,1750 DT,1750,2,Mahdia,Mahdia,0,2,2025-06-16 14:24:00,2025-06-16,6,2025,16,0,0,14,Après-midi,Été
vacance d’été à louer s+1 rz nadhour pied dans l’eau,1000 DT,1000,2,Mahdia,Mahdia,0,1,2025-06-16 14:23:00,2025-06-16,6,2025,16,0,0,14,Après-midi,Été
A Louer Appartement S+1 RZ les jardins Pour Vacance à mahdia,900 DT,900,2,Mahdia,Mahdia,0,1,2025-06-16 14:20:00,2025-06-16,6,2025,16,0,0,14,Après-midi,Été
a louer appartement s+2 vue mer en plein zone touristique,1300 DT,1300,2,Mahdia,Mahdia,0,2,2025-06-16 14:15:00,2025-06-16,6,2025,16,0,0,14,Après-midi,Été
s+ 1 à louer rz dyar skiffa,1000 DT,1000,2,Mahdia,Mahdia,0,1,2025-06-16 14:11:00,2025-06-16,6,2025,16,0,0,14,Après-midi,Été
Appartement S+4 en vente,0 DT,0,1,Bizerte,Zarzouna,1,4,2026-03-17 17:53:00,2026-03-17,3,2026,17,1,0,17,Après-midi,Printemps
Studio bien équipé,700 DT,700,0,Bizerte,Bizerte Nord,0,0,2026-02-17 10:19:00,2026-02-17,2,2026,17,1,0,10,Matin,Hiver
Studio bien équipé,650 DT,650,0,Bizerte,Bizerte Nord,0,0,2026-01-13 18:37:00,2026-01-13,1,2026,13,1,0,18,Après-midi,Hiver
spacieux studio,600 DT,600,4,Bizerte,Bizerte Nord,0,0,2026-01-13 18:37:00,2026-01-13,1,2026,13,1,0,18,Après-midi,Hiver
studio au rez de chaussée,600 DT,600,4,Bizerte,Bizerte Nord,0,0,2026-01-05 12:33:00,2026-01-05,1,2026,5,0,0,12,Matin,Hiver
spacieux studio,400 DT,400,0,Bizerte,Bizerte Nord,0,0,2026-01-05 12:33:00,2026-01-05,1,2026,5,0,0,12,Matin,Hiver
spacieux studio vide,600 DT,600,4,Bizerte,Bizerte Nord,0,0,2025-12-30 21:22:00,2025-12-30,12,2025,30,1,0,21,Soir,Hiver
spacieux studio meublé,80 DT,80,0,Bizerte,Bizerte Nord,0,0,2025-12-30 21:22:00,2025-12-30,12,2025,30,1,0,21,Soir,Hiver
À VENDRE | Appartement S+3 - Cité El Hana Bizerte,170000 DT,170000,1,Bizerte,Bizerte Nord,1,3,2025-11-28 19:41:00,2025-11-28,11,2025,28,4,0,19,Soir,Automne
petit studio meublé,550 DT,550,0,Bizerte,Bizerte Nord,0,0,2025-10-17 23:42:00,2025-10-17,10,2025,17,4,0,23,Soir,Automne
A Vendre un Appartement S+2 Haut Standing à Bizerte,210000 DT,210000,1,Bizerte,Bizerte Nord,1,2,2025-10-06 13:35:00,2025-10-06,10,2025,6,0,0,13,Après-midi,Automne
A louer un Etage de villa s2 front mer à Bizerte,1700 DT,1700,4,Bizerte,Bizerte Nord,0,2,2025-09-22 17:38:00,2025-09-22,9,2025,22,0,0,17,Après-midi,Automne
A Louer un Appartemnt S2 Front Mer à Corniche Bizerte,2400 DT,2400,2,Bizerte,Bizerte Nord,0,2,2025-09-22 13:13:00,2025-09-22,9,2025,22,0,0,13,Après-midi,Automne
Studio 40m2 au rez-de-chaussée centre ville zarzouna,53000 DT,53000,3,Bizerte,Zarzouna,1,0,2025-07-04 08:50:00,2025-07-04,7,2025,4,4,0,8,Matin,Été
Studio s+1,400 DT,400,4,Bizerte,Bizerte Nord,0,0,2025-02-08 21:36:00,2025-02-08,2,2025,8,5,1,21,Soir,Hiver
Appartement S2 hammam lif,135000 DT,135000,1,Ben arous,Hammam Lif,1,2,2026-03-13 13:28:00,2026-03-13,3,2026,13,4,0,13,Après-midi,Printemps
À LOUER ÉTAGE VILLA S+3 AU REZ-DE-CHAUSSÉE À RADES 2,950 DT,950,0,Ben arous,Radès,0,3,2026-03-12 16:04:00,2026-03-12,3,2026,12,3,0,16,Après-midi,Printemps
Appartement S2 au 2etage,650 DT,650,0,Ben arous,Radès,0,2,2026-03-12 13:52:00,2026-03-12,3,2026,12,3,0,13,Après-midi,Printemps
Appartement S+2 Haut Standing a Vendre,220000 DT,220000,1,Ben arous,Borj Cedria,1,2,2026-03-03 17:44:00,2026-03-03,3,2026,3,1,0,17,Après-midi,Printemps
A Louer - Appartement S+2,550 DT,550,0,Ben arous,Borj Cedria,0,2,2026-03-03 17:44:00,2026-03-03,3,2026,3,1,0,17,Après-midi,Printemps
À VENDRE – Superbe villa duplex haut standing S+4,420000 DT,420000,3,Ben arous,Borj Cedria,1,4,2026-03-03 17:44:00,2026-03-03,3,2026,3,1,0,17,Après-midi,Printemps
À VENDRE APPARTEMENT S+3 AU 3ÈME ÉTAGE À RADES SNIT,130000 DT,130000,1,Ben arous,Radès,1,3,2026-02-27 15:17:00,2026-02-27,2,2026,27,4,0,15,Après-midi,Hiver
À VENDRE SPACIEUX DUPLEX S+4 À RADES MELIANE 2,750000 DT,750000,3,Ben arous,Radès,1,4,2026-02-26 19:11:00,2026-02-26,2,2026,26,3,0,19,Soir,Hiver
Appartement à vendre S+2 MOUROUJ 5,110000 DT,110000,1,Ben arous,El Mourouj,1,2,2026-02-24 15:11:00,2026-02-24,2,2026,24,1,0,15,Après-midi,Hiver
"À Vendre – Duplex S+6 sur 3 niveaux à Mourouj 5, rare sur le",250000 DT,250000,1,Ben arous,El Mourouj,1,6,2026-02-23 16:29:00,2026-02-23,2,2026,23,0,0,16,Après-midi,Hiver
Pour la location Megrine Type : étage de villa s+3 au R,1200 DT,1200,4,Ben arous,Mégrine,0,3,2026-02-17 11:08:00,2026-02-17,2,2026,17,1,0,11,Matin,Hiver
À vendre appartement S+3 125m² à Ezzahra – Quartier calme et,305000 DT,305000,1,Ben arous,Ezzahra,1,3,2026-02-13 16:31:00,2026-02-13,2,2026,13,4,0,16,Après-midi,Hiver
